work_id,assigned_topic_hard,top1_topic,top1_pct,top2_topic,top2_pct,top3_topic,top3_pct,unexplained_pct
W00316,-1,0,29.98,13,14.73,22,11.82,43.46
W00317,13,13,36.51,6,7.78,23,4.21,40.64
W00320,-1,2,15.14,19,8.8,3,6.06,50.12
W00321,10,10,44.51,3,2.33,0,0.0,53.16
W00322,11,11,39.31,0,7.96,19,5.93,41.83
W00324,-1,3,13.44,9,8.42,0,7.77,62.04
W00325,-1,2,21.59,18,15.72,20,8.08,43.25
W00326,-1,1,30.37,19,20.34,4,7.27,42.01
W00327,3,3,33.33,19,18.66,20,1.86,46.15
W00328,3,3,25.08,23,22.72,16,1.06,51.14
W00329,22,22,29.63,0,13.36,3,7.61,39.84
W00330,2,2,39.21,7,7.94,23,3.49,49.36
W00331,10,10,25.72,22,10.83,8,10.74,50.39
W00332,-1,2,34.88,6,10.48,23,5.86,46.48
W00333,-1,11,29.29,4,12.1,22,10.07,48.2
W00334,11,11,28.97,12,16.98,18,4.2,44.94
W00336,3,5,26.26,3,15.13,24,3.94,54.67
W00337,0,0,18.06,11,13.04,10,9.47,51.78
W00338,2,23,14.08,11,13.77,18,9.39,45.24
W00339,5,12,23.82,5,11.91,11,11.84,50.91
W00340,-1,22,20.82,18,8.0,20,5.49,56.13
W00341,10,10,21.16,14,11.59,1,10.68,44.08
W00342,5,5,25.75,18,13.25,7,6.71,48.98
W00343,20,20,27.38,19,14.32,10,4.3,43.21
W00344,-1,13,16.61,18,11.46,17,8.73,48.1
W00345,-1,0,27.78,10,19.19,23,5.54,44.46
W00346,-1,4,22.49,3,8.37,7,6.79,43.25
W00347,6,6,29.29,3,20.53,0,0.0,50.18
W00348,24,24,34.84,9,11.75,11,5.64,47.77
W00350,22,22,41.57,2,7.1,20,4.63,40.71
W00351,12,12,19.33,20,10.83,2,8.94,55.17
W00352,-1,1,33.87,14,11.98,20,5.48,48.66
W00353,-1,5,23.1,10,18.18,23,9.93,48.79
W00355,-1,0,19.01,12,14.67,17,8.77,37.81
W00356,-1,6,18.98,18,10.23,17,10.15,49.06
W00357,5,5,37.07,8,5.13,1,2.91,51.6
W00358,-1,10,24.33,12,12.55,6,8.89,41.53
W00359,-1,14,19.33,6,13.1,20,8.47,41.74
W00360,2,22,17.85,2,17.56,0,7.14,46.57
W00363,-1,3,20.75,7,18.88,0,12.28,46.16
W00364,10,10,33.27,17,11.51,6,9.42,44.17
W00365,-1,16,21.47,8,8.57,12,7.25,44.11
W00366,7,17,10.3,7,10.09,0,9.5,53.65
W00367,-1,17,27.23,13,14.61,14,5.78,37.56
W00368,-1,18,21.09,12,12.48,21,10.64,42.65
W00369,4,4,35.15,14,6.98,23,5.2,43.3
W00370,-1,4,25.89,6,13.68,17,9.74,43.24
W00371,-1,6,18.67,12,17.73,23,7.05,36.67
W00372,15,12,15.68,8,10.29,24,10.06,36.81
W00373,-1,6,15.95,5,14.05,19,12.0,41.26
W00374,1,1,37.34,23,20.09,0,0.0,42.57
W00375,-1,6,18.24,24,13.36,15,8.22,42.57
W00376,-1,13,21.82,4,12.88,6,11.48,41.33
W00377,-1,18,18.51,1,16.79,13,10.93,39.99
W00378,-1,8,16.43,17,10.84,15,6.3,41.35
W00379,6,6,30.74,13,20.71,24,4.49,39.72
W00380,-1,1,27.36,15,11.22,8,9.94,40.74
W00381,-1,6,17.65,19,10.8,16,8.95,40.44
W00382,3,5,21.36,3,18.15,19,9.08,51.42
W00384,-1,15,25.38,13,13.81,22,11.2,45.1
W00385,4,4,50.22,24,3.34,16,1.01,45.43
W00386,-1,24,20.36,9,11.19,3,8.83,44.94
W00387,-1,3,22.89,0,10.53,19,10.33,39.16
W00388,4,4,31.64,14,14.62,5,3.89,48.46
W00389,-1,4,13.83,6,9.69,7,8.32,44.11
W00390,-1,15,23.43,17,13.33,13,9.37,40.07
W00391,0,0,31.01,9,13.12,18,7.38,48.48
W00392,1,19,23.79,18,15.83,1,13.25,47.13
W00393,7,7,36.68,17,11.07,1,4.64,47.6
W00394,-1,4,22.53,13,10.51,10,8.89,42.23
W00395,-1,8,28.37,1,20.54,7,2.63,47.56
W00396,-1,13,19.59,14,14.46,1,14.26,41.03
W00397,0,0,35.55,17,14.23,15,3.26,45.55
W00398,-1,18,18.13,23,10.95,13,7.21,51.36
W00399,6,6,30.22,9,10.63,21,7.86,50.8
W00400,1,1,29.39,8,9.18,20,6.6,51.32
W00401,11,11,33.45,4,19.55,14,1.72,43.74
W00403,-1,4,19.12,15,6.65,2,5.37,58.43
W00404,-1,5,17.84,4,12.68,23,7.64,55.37
W00405,2,2,33.52,22,12.37,11,0.4,53.7
W00406,-1,8,22.37,3,10.61,2,6.29,50.92
W00407,2,2,30.95,14,16.24,8,0.44,52.38
W00408,2,9,22.21,0,12.48,11,3.54,61.35
W00409,-1,6,19.53,23,13.59,11,10.02,49.26
W00410,9,9,43.28,17,3.59,0,0.0,53.13
W00411,11,11,46.43,10,7.84,20,0.61,45.04
W00412,1,23,26.13,1,21.88,8,5.79,46.2
W00413,-1,12,9.33,13,8.45,14,6.74,63.44
W00414,-1,7,23.68,8,14.46,1,7.66,44.68
W00415,-1,4,21.74,19,5.8,24,2.44,66.49
W00416,6,6,40.9,10,7.81,4,2.8,45.9
W00417,-1,6,20.16,15,13.43,4,6.19,43.2
W00418,-1,4,22.51,8,11.87,13,9.65,42.32
W00419,-1,1,17.58,18,11.41,14,9.23,38.55
W00420,17,17,44.6,24,4.88,22,0.0,50.52
W00421,8,8,33.16,17,8.9,20,8.28,41.09
W00422,21,21,40.16,5,8.04,4,4.37,46.21
W00423,-1,19,18.59,10,12.36,18,6.94,43.46
W00424,-1,0,20.67,13,14.71,18,13.01,44.72
W00426,-1,9,9.78,22,9.72,18,8.57,37.51
W00427,-1,17,20.81,10,20.08,9,9.12,49.61
W00428,-1,2,16.72,3,15.61,23,11.74,47.42
W00429,11,11,19.99,5,10.46,14,7.01,47.17
W00430,-1,10,13.34,14,12.02,3,10.99,41.48
W00431,1,1,34.61,20,11.65,19,4.74,49.0
W00432,19,19,22.48,2,17.64,7,2.32,56.48
W00433,1,1,25.62,18,11.56,22,8.12,53.03
W00434,10,10,25.08,1,14.62,8,5.61,54.69
W00435,-1,20,13.47,1,13.33,24,11.27,57.8
W00436,-1,3,21.66,0,21.17,19,8.02,47.33
W00437,-1,20,16.41,15,11.75,24,11.0,46.19
W00438,1,1,29.66,19,14.44,20,2.32,50.79
W00439,-1,3,20.77,10,16.72,19,5.16,47.2
W00440,-1,8,22.26,1,16.85,2,9.55,45.2
W00441,-1,5,17.43,1,12.5,20,10.5,47.48
W00442,-1,4,25.29,9,16.59,11,7.3,47.09
W00443,-1,4,20.44,2,20.42,11,9.07,42.28
W00444,-1,15,14.96,1,12.65,5,3.49,65.45
W00445,5,10,12.96,2,11.4,23,8.02,57.54
W00446,6,6,22.67,9,14.51,13,9.69,49.09
W00448,20,20,47.48,13,4.86,0,0.0,47.66
W00449,-1,14,28.29,10,5.02,8,4.21,54.73
W00451,6,6,42.55,17,4.79,0,0.0,52.66
W00453,0,0,31.54,8,10.45,5,6.85,46.83
W00454,12,12,49.81,22,0.0,21,0.0,50.19
W00455,-1,21,11.78,6,10.72,17,8.15,56.43
W00456,-1,9,35.16,3,3.13,1,2.1,59.62
W00457,16,16,48.71,13,5.47,0,0.0,45.82
W00458,0,7,20.98,8,15.07,17,8.05,50.87
W00459,-1,8,24.65,1,20.8,15,7.11,42.76
W00460,-1,1,14.48,0,11.5,22,8.95,40.05
W00461,-1,15,14.81,0,13.99,24,11.91,45.38
W00462,-1,6,21.41,1,10.94,15,10.93,51.23
W00463,13,13,34.15,6,11.78,0,8.49,45.44
W00464,-1,17,16.8,1,6.23,24,3.95,64.1
W00465,0,0,30.6,6,19.75,17,1.32,48.33
W00466,-1,10,12.61,14,7.18,16,6.8,54.95
W00468,-1,17,16.44,14,9.28,16,8.92,53.25
W00469,0,23,24.85,7,7.89,10,5.06,50.26
W00470,7,7,26.33,10,16.58,17,10.6,44.92
W00471,2,2,24.95,9,11.79,22,7.97,55.29
W00472,8,8,40.18,1,12.48,20,0.21,47.13
W00473,3,3,36.1,7,4.17,6,2.22,55.54
W00474,-1,5,24.74,10,8.48,2,7.82,48.84
W00475,-1,9,12.39,17,11.86,5,10.89,54.27
W00476,23,23,37.9,4,7.65,15,6.64,42.19
W00477,-1,8,17.75,7,6.72,24,5.59,59.77
W00479,10,10,52.13,17,4.16,6,0.63,43.08
W00481,10,12,28.11,10,20.59,22,0.0,51.29
W00482,9,9,42.25,3,6.54,15,5.36,44.37
W00484,-1,13,20.68,22,16.46,9,4.5,54.22
W00485,-1,13,20.21,22,16.0,10,4.07,54.53
W00486,12,12,34.74,13,2.54,23,1.17,60.57
W00489,-1,10,8.81,1,8.19,7,6.51,61.23
W00490,-1,6,15.2,24,8.75,13,7.91,51.85
W00493,-1,5,13.78,13,8.83,17,7.97,57.5
W00495,17,17,50.18,0,0.0,22,0.0,49.82
W00497,-1,3,13.89,1,11.99,9,6.19,61.98
W00498,1,1,28.86,0,9.98,17,4.91,56.25
W00499,-1,6,23.47,1,9.84,16,3.01,57.04
W00500,0,17,15.25,7,15.23,0,6.2,55.88
W00501,1,1,17.32,5,14.22,0,10.9,55.19
W00503,-1,16,11.05,6,9.3,10,8.45,56.39
W00505,0,6,22.15,0,15.36,17,3.65,57.68
W00506,0,0,52.13,22,0.0,21,0.0,47.87
W00507,0,0,29.74,6,15.68,12,11.9,41.32
W00508,-1,17,12.2,14,11.56,7,10.59,47.53
W00509,13,13,38.77,6,8.57,17,2.85,46.27
W00510,-1,1,17.99,19,7.18,18,6.6,44.01
W00511,10,10,48.25,4,5.92,17,5.27,39.58
W00513,-1,7,22.61,21,15.07,6,11.52,36.77
W00514,-1,17,29.96,4,15.99,22,8.46,45.59
W00515,-1,9,10.21,19,9.79,15,9.67,41.88
W00516,-1,15,20.12,0,14.65,17,14.12,50.0
W00517,11,11,48.87,12,7.25,22,0.0,43.88
W00518,-1,23,22.23,17,9.13,20,8.35,48.23
W00519,13,13,35.7,10,11.64,18,3.66,44.32
W00520,-1,12,13.15,0,9.66,23,8.08,49.82
W00521,1,1,28.55,10,7.29,3,3.35,52.76
W00522,1,1,32.8,12,9.97,21,3.53,47.03
W00523,17,17,37.71,22,14.0,3,1.83,45.77
W00524,-1,22,19.23,18,15.18,21,11.25,44.04
W00525,20,20,26.33,8,22.23,0,4.71,46.73
W00527,-1,18,21.12,10,16.06,3,11.18,45.86
W00529,-1,7,30.98,17,12.9,18,5.31,44.0
W00530,-1,4,37.11,14,8.77,5,5.2,45.87
W00531,-1,13,19.76,23,10.05,19,8.22,46.33
W00532,0,8,22.72,0,22.54,3,2.9,51.84
W00533,-1,17,24.95,23,11.18,16,8.97,46.8
W00534,8,8,36.81,19,13.32,0,0.0,49.87
W00535,5,5,27.39,22,13.26,8,12.65,46.01
W00536,1,5,21.58,1,18.18,19,5.73,51.22
W00537,6,6,44.59,21,11.74,9,5.14,38.52
W00538,-1,6,29.98,23,8.06,21,6.98,42.61
W00539,-1,9,20.41,12,11.63,6,8.06,49.74
W00540,8,8,19.2,24,10.04,0,7.57,47.98
W00541,-1,6,14.01,0,12.87,15,8.78,48.17
W00542,-1,3,19.68,22,10.38,16,8.36,50.08
W00543,17,17,49.71,24,2.64,22,0.0,47.65
W00545,-1,18,20.45,0,9.3,19,5.54,48.81
W00546,1,1,50.06,6,9.09,0,0.0,40.86
W00547,4,4,24.63,20,7.93,1,7.34,41.56
W00548,0,0,33.83,15,18.96,1,4.73,42.48
W00549,7,7,37.39,17,8.65,13,5.6,40.08
W00550,-1,7,18.27,1,12.09,15,9.95,47.74
W00551,1,1,28.72,18,15.33,19,5.57,50.37
W00553,18,18,45.04,9,5.97,21,3.61,44.49
W00554,-1,13,19.25,4,15.16,22,8.65,45.04
W00555,-1,6,18.82,13,15.61,1,12.28,48.28
